Video position (%),Absolute audience retention (%),Compared to other videos (%)
0,96.66,13.16
1,76.37,15.62
2,68.11,18.19
3,60.26,21.88
4,55.3,27.17
5,50.15,32.67
6,47.15,36.89
7,46.48,38.81
8,45,37.93
9,41.34,34.81
10,39.37,31.16
11,38.66,28.71
12,38.83,27.67
13,38.22,26.97
14,37.81,25.66
15,37.07,23.68
16,36.33,21.82
17,35.63,21
18,35.42,21.65
19,34.67,23.31
20,34.91,24.74
21,34.83,24.56
22,34.8,22.11
23,32.96,18.39
24,31.89,15.64
25,31.54,15.48
26,31.09,17.44
27,31.98,19.62
28,31.31,20.45
29,30.76,19.94
30,30.26,19.33
31,29.65,19.81
32,29.65,21.39
33,28.72,23.05
34,29.01,24.06
35,28.48,24.44
36,28.44,24.63
37,28.53,24.95
38,28.38,25.64
39,27.76,26.89
40,28.08,28.49
41,28.22,30.03
42,27.52,31.24
43,27.07,32
44,28.01,32.01
45,28.03,31.13
46,27.02,29.87
47,26.81,29.39
48,26.47,30.35
49,26.47,32.03
50,26.74,32.99
51,27.16,32.54
52,25.74,31.62
53,25.46,32.25
54,25.27,36.05
55,25.76,42.89
56,26.1,50.64
57,27.86,56.33
58,28.21,58.13
59,27.77,56.05
60,26.44,51.68
61,26.27,46.96
62,26.49,42.78
63,26.5,38.91
64,26.19,35
65,25.63,31.2
66,25.53,27.66
67,25.48,24.26
68,25.62,20.82
69,25.67,17.59
70,26.02,14.93
71,26.8,12.47
72,28.33,9.21
73,28.5,4.57
74,27.79,-0.97
75,26.57,-6.11
76,23.68,-9.66
77,22.96,-11.72
78,23.31,-13.6
79,22.49,-16.47
80,21.84,-20.23
81,20.9,-23.9
82,20.51,-26.71
83,20.16,-28.55
84,19.31,-29.42
85,18.8,-29.14
86,18.57,-27.6
87,17.84,-24.78
88,16.91,-20.63
89,16.73,-15.37
90,16.5,-10.07
91,17.19,-6.46
92,16.7,-5.7
93,15.83,-7.23
94,15.17,-8.89
95,14.53,-8.75
96,13.42,-6.79
97,12.69,-4.49
98,11.93,-2.93
99,10.83,-2.15